"stockid","stockid_ramldb","common_name","species","species_orig","order","family","family_common","type","type1","country","region","area","source","comments","method","ssb_units","r_units","landings_units","f_age_vpa","r_age_vpa","r_age_vpa1","feed_type","egg_type","egg_diam","length_at_hatch","length_at_metamorph","deltaL","deltaN","spawn_location","spawn_lat_dm","spawn_long_dm","spawn_month","natmort","f01","fmax","fmed","sprf0","source_mat","lmat","lmat_m","lmat_f","tmat","tmat_m","tmat_f","r_length","r_age","r_age_m","r_age_f","source_growth","linf_in","k","t0","linf_in_m","k_m","t0_m","linf_in_f","k_f","t0_f","source_lw_ab","lw_a","lw_b","lw_a_m","lw_b_m","lw_a_f","lw_b_f","ssb_nyr","r_nyr","sr_nyr"
"MACKSPO",NA,"South Pacific horse mackerel","Trachurus symmetricus","Trachurus symetricus","Perciformes","Carangidae","Jacks, amberjacks, pompanos","marine","finfish","Pacific Ocean","Pacific Ocean","South Pacific Ocean","H. Arancibia et al. 1995. the fishery of horse mackerel ({\em Trachurus symmetricus murphyi}) in the South Pacific Ocean, with notes on the fishery off central southern Chile.  Sci. Mar, 59(3-4):589-596","Recruitment was read from Figure 8 and was lagged by 1 year","SPA","Thousand Tonnes","Billions","Thousand Tonnes","5-10","1",1,NA,NA,NA,NA,NA,NA,NA,NA,"-30 00","-90 00",NA,"0.4","0.51",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,"H. Arancibia et al. 1995. the fishery of horse mackerel ({\em Trachurus symmetricus murphyi}) in the South Pacific Ocean, with notes on the fishery off central southern Chile.  Sci. Mar, 59(3-4):589-596","74.24 cm","0.1109","-.8113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,15
"MACKVIIIcIXa",NA,"Horse mackerel","Trachurus trachurus","Trachurus trachurus","Perciformes","Carangidae","Jacks, amberjacks, pompanos","marine","finfish","Europe","Europe","Southern ICES","Anon. 1996. Working Group on the Assessment of the Stocks of Sardine, Horse Mackerel and Anchovy. ICES Doc. C.M. 1996/Assess: 7.",NA,"SPA","Tonnes","Thousands","Tonnes","7-11","0",0,NA,NA,NA,NA,NA,NA,NA,NA,"43 00","-11 00",NA,"0.15","0.09","0.19","0.26","0.84546",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10
"MACKWS",NA,"Mackerel","Scomber scombrus","Scomber scombrus","Perciformes","Scombridae","Mackerels and tunas","marine","finfish","Europe","Europe","Western ICES","Anon. 1975. Report of the Mackerel Working Group. ICES Doc. C.M. 1975/H: 3.; Anon. 1990. Report of the Mackerel Working Group. ICES Doc. C.M. 1990/Assess: 19.; Anon. 1991. Mackerel Working Group. ICES Doc. C.M. 1991/Assess: 19.","VPA, 0 year olds in (000 000's)","SPA","Thousand tonnes","Millions","Tonnes","4-8","0",0,"Pelagic",NA,"1.2","3.5","30","26.5","22.1",NA,"49 00","-7 00",NA,"0.15","0.20",NA,"0.18","1.87","Scott, W. B. and  M. G. Scott. 1988. Atlantic fishes of Canada. Can. Bull. Fish. Aquat. Sci. 219.","30-34",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,19
"MASKINOGIES",NA,"Maskinonge","Esox masquinongy","Esox masquinongy","Salmoniformes","Esocidae","Pikes","freshwater","finfish","Canada","Canada Ontario","Nogies Creek Sanctuary, Ontario","B. S. Muir. 1961. Estimates of mortalities and population size for the Nogies Creek maskinonge (Esox masquinongy Mitchill). PhD. Thesis, University of Toronto Toronto, Ontario",NA,"SPA",NA,"numbers",NA,NA,"4",4,NA,NA,NA,NA,NA,NA,NA,NA,"44 30","-78 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0
"MEG7-8",NA,"Megrim","Lepidorhombus whiffiagonis","Lepidorhombus whiffiagonis","Pleuronectiformes","Scophthalmidae","Turbots","marine","finfish","Europe","Europe","ICES VII and VIII","Anon. 1995. Report of the Working Group on the Assessment of Southern Shelf Demersal Stocks. ICES Doc. C.M. 1996/Assess: 5.","taken from table 5.3.10, page 327.","SPA","Tonnes","Thousands","Tonnes","3-6","1",1,NA,NA,NA,NA,NA,NA,NA,NA,"49 00","-10 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,10
"MEG7-8ab",NA,"Megrim","Lepidorhombus whiffiagonis","Lepidorhombus whiffiagonis","Pleuronectiformes","Scophthalmidae","Turbots","marine","finfish","Europe","Europe","ICES VII and VIIIa,b","Anon. 1993. Report of the Working Group on the Assessment of Southern Shelf Demersal Stocks. ICES Doc. C.M. 1993/Assess: 3.",NA,"SPA","Tonnes","Thousands","Tonnes","3-6","1",1,NA,NA,NA,NA,NA,NA,NA,NA,"49 00","-10 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,7
"MEG8c9a","MEG8c9a","Megrim","Lepidorhombus whiffiagonis","Lepidorhombus whiffiagonis","Pleuronectiformes","Scophthalmidae","Turbots","marine","finfish","Europe","Europe","ICES VIIIc and IXa","Anon. 1995. Report of the Working Group on the Assessment of Southern Shelf Demersal Stocks. ICES Doc. C.M. 1996/Assess: 5.",NA,"SPA","Tonnes","Thousands","Tonnes","2-4","0",0,NA,NA,NA,NA,NA,NA,NA,NA,"43 00","-10 00",NA,"0.2",NA,NA,NA,NA,NA,NA,NA,NA,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,8
"MENATLAN","MENATLAN","Atlantic menhaden","Brevoortia tyrannus","Brevoortia tyrannus","Clupeiformes","Clupeidae","Herrings","marine","finfish","USA","US East Coast","U.S. Atlantic","Vaughan, D. S. 1990. Assessment of the status of the Atlantic menhaden stock with reference to internal waters processing.   NOAA Technical Report NMFS-SPEC 262.; updated by Pers. Comm. with Vaughan, D. S.","SPA, 1 year olds in (000 000's), F is mean weighted by catch","SPA","Thousand tonnes of females","Billions","Thousand tonnes","0-8","1",1,NA,"Oviparous, pelagic","1.61","3","30","27","16.8",NA,"35 00","-75 00",NA,"0.45",NA,NA,NA,"0.17",NA,NA,NA,NA,"2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,41,40
"MENGULF","MENATGM","Gulf menhaden","Brevoortia patronus","Brevoortia patronus","Clupeiformes","Clupeidae","Herrings","marine","finfish","USA","US Gulf of Mexico","Gulf of Mexico","Vaughan, D. S. 1987. Stock Assessment of the Gulf Menhaden, {\it Brevoortia patronus}, Fishery. NOAA Technical Report NMFS 58. and NOAA Tech. Report NMFS 125, Feb. 1996.","FBAR is weighted mean of F's for ages 0-8 (weighted by catch in numbers) (M = 1.1).","SPA","Thousand tonnes","Billions","Thousands tonnes","0-8","1",1,NA,NA,"1.61","3","30","27","16.8","Shelf","28 00","-90 00","12-1","1.1","0.7",NA,NA,"0.02691043",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"Vaughan, D.S. 1987.  Stock Assessment of the Gulf Menhaden, {\em Brevoortia patronus}, Fishery.  NOAA Tec. Rep NMFS 58.","254.3","0.354","-1.054",NA,NA,NA,NA,NA,NA,"Vaughan, D.S. 1987.  Stock Assessment of the Gulf Menhaden, {\em Brevoortia patronus}, Fishery.  NOAA Tec. Rep NMFS 58.","-12.657","3.358",NA,NA,NA,NA,28,27,26
"MONK78",NA,"Monkfish","Lophius piscatorius","Lophius piscatorius","Lophiiformes","Lophiidae","Anglerfishes","marine","finfish","Europe","Europe","ICES VIIb-k and VIIIa,b.","Anon. 1993. Report of the Working Group on the Assessment of Southern Shelf Demersal Stocks. ICES Doc. C.M.1993/Assess: 3.",NA,"SPA","Tonnes","Thousands","Tonnes","3-7","0",0,NA,NA,NA,NA,NA,NA,NA,NA,"49 00","-10 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6
"MONK78ab",NA,"Monkfish","Lophius piscatorius","Lophius piscatorius","Lophiiformes","Lophiidae","Anglerfishes","marine","finfish","Europe","Europe","ICES VII and VIIIa,b.","Anon. 1993. Report of the Working Group on the Assessment of Southern Shelf Demersal Stocks. ICES Doc. C.M.1996/Assess: 5.","taken from 5.2.2.10, page 300","SPA","Tonnes","Thousands","Tonnes","4-8","1",1,NA,NA,NA,NA,NA,NA,NA,NA,"49 00","-10 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,8
"NOTOKERGUELEN",NA,"Marbled rockcod","Notothenia rossii","Notothenia rossii","Perciformes","Nototheniidae","Antarctic cods","marine","finfish","Antarctica","Antarctica","Kerguelen Islands, Antarctic Ocean","Koch, K.H. 1992. Antarctic fish and fisheries. Cambridege Univ. Press.359 pages.","Fig. 83, M=0.31","RV","Thousand Tonnes",NA,"Thousand Tonnes",NA,NA,NA,NA,NA,"5.0","12.0",NA,NA,NA,NA,"69 30","-50 00",NA,"0.31",NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"80.3","0.2","0.296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0
"NOTOSGEORGIA",NA,"Marbled rockcod","Notothenia rossii","Notothenia rossii","Perciformes","Nototheniidae","Antarctic cods","marine","finfish","Antarctica","Antarctica","South Georgia, Antarctic Ocean","Koch, K.H. 1992. Antarctic fish and fisheries. Cambridege Univ. Press.359 pages.",NA,"SPA and RV","Thousand Tonnes","Millions","Thousand Tonnes",NA,"2",2,NA,NA,"5.0","12.0",NA,NA,NA,NA,"-54 00","-36 00",NA,"0.29",NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"80.3","0.2","0.296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,13,13
"NOTOSORKNEY",NA,"Marbled rockcod","Notothenia rossii","Notothenia rossii","Perciformes","Nototheniidae","Antarctic cods","marine","finfish","Antarctica","Antarctica","South Orkney Islands, Antarctic Ocean","Koch, K.H. 1992. Antarctic fish and fisheries. Cambridege Univ. Press.359 pages.","Fig. 82","RV","Thousand Tonnes",NA,"Thousand Tonnes",NA,NA,NA,NA,NA,"5.0","12.0",NA,NA,NA,NA,"-60 30","-47 30",NA,"0.29",NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"80.3","0.2","0.296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0
"NPOUTNS","NPOUTNS","Norway pout","Trisopterus esmarkii","Trisopterus esmarkii","Gadiformes","Gadidae","Codfishes","marine","finfish","Europe","Europe","North Sea","Anon. 1990. Report of Industrial Fisheries Working Group. ICES Doc. C.M. 1990/Assess: 13.; Anon. 1991. Report of Industrial Fisheries Working Group. ICES Doc. C.M. 1991/Assess: 14.; ICES CM 1996/ Assess:6","RV (1)","SPA","Thousand tonnes","Billions","Thousand tonnes","1-2","0",0,"Demersal","Oviparous, pelagic","1.12","3.3","24","20.7","18.5","Shelf","55 00","4 00","3-4","1.6",NA,NA,NA,NA,"Cooper, A. 1983. Gadoid Populations of Western Scottish Sea Lochs and their exchanges with West Coast Stocks.",NA,"16.2","16.6","2",NA,NA,NA,NA,NA,NA,"Bailey, R.S. & Kunzlik, P.A., 1984. Variation in Growth and Mortality Rates of Norway Pout  Trisopterus esmarkii(Nilsson).  ICES CM 1984/ G:70","21.29","0.65","-0.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,20,20
"NZSNAPAREA8",NA,"New Zealand snapper","Pagrus auratus","Pagrus auratus","Perciformes","Sparidae","Porgies","marine","finfish","Oceania","New Zealand","New Zeeland, SNA 8","Annala, J.H. & Sullivan, K.J. (Comps) 1996: Report from the Fishery Assessment Plenary, April-May 1996: stock assessments and yield estimates. 308 p. (Unpublished report held in NIWA library, Welington). Enquiries: N.M. Davies, NIWA,P.O. Box 1043, Whangarei, New Zealand. Email: n.davies""at""niwa.cri.nz","Recruitment was estimated from catch at age data fitted within a stock reduction analysis model; stock biomass = spawning stock biomass  was estimated within the same model which was also fitted to one tag-recapture  estimate and catch per unit effort data. Total landings are the recorded commercial catch plus a guessed recreational catch. Estimates of the recreational catch exist for only two recent years. Fishing mortality corresponds to the total landings.","CPUE and mark-recapture","Tonnes","Millions","Tonnes","3-50","3",3,NA,"Oviparous, pelagic","0.85 - 0.97","2","10","8","8",NA,"-37 00","173 30","Oct - Feb","0.06","0.058","0.101",NA,"50.956",NA,"23 - 28 cm",NA,NA,"4",NA,NA,"25 cm","3 - 5",NA,NA,"Gilbert, D.J. & Sullivan, K.J. 1994. Snapper stock assessment for the 1992-93 fishing year. N.Z. Fisheries Assessment Research Document 94/3: 37 p.","66.7 cm","0.160","-0.11",NA,NA,NA,NA,NA,NA,"Paul, L.J. 1976. A study on age growth and population structure of the snapper, Chrysophrys auratus in Hauraki Gulf. N.Z. Fish. Res. Bull. Min. Agric. Fish., N.Z. 13: 63 p. Parameters given convert fork length in cm to to weight in g.","0.04467","2.793",NA,NA,NA,NA,65,9,9
"NZSNAPPLENTY",NA,"New Zealand snapper","Pagrus auratus","Pagrus auratus","Perciformes","Sparidae","Porgies","marine","finfish","Oceania","New Zealand","Hauraki Gulf/Bay of Plenty","Annala, J.H. & Sullivan, K.J. (Comps) 1996: Report from the Fishery Assessment Plenary, April-May 1996: stock assessments and yield estimates. 308 p. (Unpublished report held in NIWA library, Wellington).  Enquiries to Mr D.J. Gilbert, NIWA, P.O. Box 14 901, Wellington, New Zealand. (Email: d.gilbert"" at ""niwa.cri.nz).","Recruitment was estimated from trawl survey indices and scaled by a mean recruitment estimated in a stock reduction analysis model; stock biomass = spawning stock biomass was estimated in the same model which was fitted to two tag recapture estimates. Total landings are the recorded commercial catch plus a guessed proportion not reported plus a guessed recreational catch. Estimates of the recreational catch exist for only two recent years. Fishing mortality corresponds to total landings.","RV","Tonnes","Millions","Tonnes","3-50","1",1,NA,"Oviparous, pelagic","0.85 - 0.97","2","10","8","8",NA,"-36 00","175","Oct - Feb","0.06","0.057","0.096",NA,"26.574",NA,"23 - 28 cm",NA,NA,"4.5",NA,NA,"25 cm","4.5",NA,NA,"Gilbert, D.J. & Sullivan, K.J. 1994. Snapper stock assessment for the 1992-93 fishing year. N.Z. Fisheries Assessment Research Document 94/3: 37 p.","58.8 cm","0.102","-1.11",NA,NA,NA,NA,NA,NA,"Paul, L.J. 1976. A study on age growth and population structure of the snapper, Chrysophrys auratus in Hauraki Gulf. N.Z. Fish. Res. Bull. Min. Agric. Fish., N.Z. 13: 63p. Parameters given convert fork length in cm to to weight in g.","0.04467","2.793",NA,NA,NA,NA,66,10,10
"PAHEADHAN",NA,"Pelagic armourhead","Pentaceros wheeleri","Pseudopentaceros wheeleri","Perciformes","Pentacerotidae","Armorheads","marine","finfish","USA","US Hawaii","Southeast Hancock Seamount, Hawaii","D.A. Somerton, & B.S. Kikkawa. 1992. Population dynamics of pelagic armourhead Pseudopentaceros wheeleri on Southeast Hancock Seamount. Fishery Bulletin. 90:756-769.","I took out the KGPERREC because of a pers. com with D. Sommerton, it is not a separate stock.","Leslie","Tonnes","Tonnes",NA,NA,"2",2,NA,NA,NA,NA,NA,NA,NA,NA,"29 48","179 03",NA,"0.54",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11
"PANCHNCS","PANCHPERUNC","Peruvian anchoveta","Engraulis ringens","Engraulis ringens","Clupeiformes","Engraulidae","Anchovies","marine","finfish","South America","Peru","Northern/Central Stock Peru","Pauly, D., and I. Tsukayama. 1980. On the Seasonal Growth, Monthly Recruitment and Monthly Biomass of Peruvian Anchoveta ({\it Engraulis ringens}) From 1961 to 1979. FAO Fisheries Report 291(30):988-1004.; Tsukayama, I., and M. L. D. Palomares. 1987.; Pauly, D., and M. Soriano. 1987.","Recruitment of 4 cm fish used","SPA","Thousand tonnes","Billions","Thousand tonnes",NA,"0.5",0.5,"Pelgic","Oviparous, pelagic",NA,NA,NA,NA,NA,NA,"-9 00","-79 00","1-3","1.2",NA,"0.5",NA,NA,"Pauly, D., and I. Tsukayama. 1980. On the Seasonal Growth, Monthly Recruitment and Monthly Biomass of Peruvian Anchoveta ({\em Engraulis ringens}) From 1961 to 1979. FAO Fisheries Report 291(30):988-1004.","11",NA,NA,"1",NA,NA,"4",NA,NA,NA,"Pauly, D., and I. Tsukayama. 1980. On the Seasonal Growth, Monthly Recruitment and Monthly Biomass of Peruvian Anchoveta ({\em Engraulis ringens}) From 1961 to 1979. FAO Fisheries Report 291(30):988-1004.","20.65","1.26",NA,NA,NA,NA,NA,NA,NA,"Pauly, D., and I. Tsukayama. 1980. On the Seasonal Growth, Monthly Recruitment and Monthly Biomass of Peruvian Anchoveta ({\em Engraulis ringens}) From 1961 to 1979. FAO Fisheries Report 291(30):988-1004.","0.0065","3.00",NA,NA,NA,NA,29,19,19
"PANCHNCS2","PANCHPERUNC","Peruvian anchoveta","Engraulis ringens","Engraulis ringens","Clupeiformes","Engraulidae","Anchovies","marine","finfish","South America","Peru","Peru","Cury, P., and C. Roy. 1989. Optimal environmental window and pelagic  fish recruitment success in upwelling areas. Can. J. Fish. Aquat. Sci. 46: 670-680.","SPA, recruitment of 3 mon. olds in  (000 000 000's), stock  in (000 000 t)","SPA",NA,"Billions","Thousand Tonnes",NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA",NA,"-12 00","-77 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29,0
"PANDAL0A",NA,"Northern shrimp","Pandalus borealis","Pandalus borealis","Decapoda","Pandalidae","Pandalid shrimps","marine","shellfish","Canada","Canada East Coast","Baffin Bay (Div. 0A + subarea 1)","D. G. Parsons and P. J. Veitch. 1997. The Canadian Fishery for Northern Shrimp (Pandalus borealis) in NAFO Division 0A and Subarea 1, 1979-1997.  DFO Res. Doc. 97/100",NA,"CPUE","kg/hr",NA,"Tonnes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68 00","-59 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,0
"PANDAL0B",NA,"Northern shrimp","Pandalus borealis","Pandalus borealis","Decapoda","Pandalidae","Pandalid shrimps","marine","shellfish","Canada","Canada East Coast","Davis Strait (Div. 0B)","D. G. Parsons and P.J. Veitch. 1997. Regional review of thye status of Northern Shrimp (Pandalus borealis) Resources Off Eastern Newfoundland and Labrador (Divisions 0B to 3K). DFO Res. Doc. 97/05",NA,"CPUE","kg/hr",NA,"Tonnes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63 30","-61 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0
"PANDAL2G",NA,"Northern shrimp","Pandalus borealis","Pandalus borealis","Decapoda","Pandalidae","Pandalid shrimps","marine","shellfish","Canada","Canada East Coast","Northern Labrador (Div. 2G)","D. G. Parsons and P.J. Veitch. 1997. Regional review of thye status of Northern Shrimp (Pandalus borealis) Resources Off Eastern Newfoundland and Labrador (Divisions 0B to 3K). DFO Res. Doc. 97/05",NA,"CPUE","kg/hr",NA,"Tonnes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59 00","-58 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0
"PANDAL3M",NA,"Northern shrimp","Pandalus borealis","Pandalus borealis","Decapoda","Pandalidae","Pandalid shrimps","marine","shellfish","Canada","Canada East Coast","Flemish Cap","M. Aschan and O. R. Godo. 1997. Evaluation of state of stock of and production potential of division 3M shrimp based on area comparison (NAFO SCR Doc. 97/91",NA,"RV","Thousand tonnes",NA,"Thousand tonnes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74 00","-25 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,27,15
"PANDAL3M2",NA,"Northern shrimp","Pandalus borealis","Pandalus borealis","Decapoda","Pandalidae","Pandalid shrimps","marine","shellfish","Canada","Canada East Coast","Flemish Cap","Ratz, H-J, and U. Skuladottir, 2000. An Exploratory Extended Survivors Formulation (XSA) for Northern Shrimp ({\em {P}andalus borealis}) in Flemish Cap (Division 3M) Serial No. N4344 NAFO SCR Doc. 00/87",NA,"SPA","Tonnes","Thousands","Tonnes","3-5","2",2,NA,NA,NA,NA,NA,NA,NA,NA,"47 00","-45 00",NA,"0.2",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,5
"PANDALBS",NA,"Northern shrimp","Pandalus borealis","Pandalus borealis","Decapoda","Pandalidae","Pandalid shrimps","marine","shellfish","Europe","Northeast Artic","Svalbard and Barents Sea","M. Aschan and O. R. Godo. 1997. Evaluation of state of stock of and production potential of division 3M shrimp based on area comparison. NAFO SCR Doc. 97/91",NA,"RV","Thousand tonnes",NA,"Thousand tonnes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74 00","25 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0,0
"PANDALESS",NA,"Northern shrimp","Pandalus borealis","Pandalus borealis","Decapoda","Pandalidae","Pandalid shrimps","marine","shellfish","Canada","Canada East Coast","Eastern Scotian Shelf","Koeller, P., M. Covey and M. King. 1997. The Scotian Shelf Shrimp (Pandalus borealis) fishery in 1997. DFO Atlantic Fisheries Research Document 97/125.",NA,"CPUE","kg/hr",NA,"Tonnes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45 30","-60 20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,0
"PANDALFC",NA,"Northern shrimp","Pandalus borealis","Pandalus borealis","Decapoda","Pandalidae","Pandalid shrimps","marine","shellfish","Canada","Canada East Coast","Flemish Cap","J. L. del Rio. 1997. Northern Shrimp (Pandalus borealis) on Flemish Cap in July-August 1997. NAFO SCR Doc. 97/88",NA,"RV","Tonnes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47 30","-45 40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0
"PANDALH3K",NA,"Northern shrimp","Pandalus borealis","Pandalus borealis","Decapoda","Pandalidae","Pandalid shrimps","marine","shellfish","Canada","Canada East Coast","Hawke Channel + Division 3K","D. G. Parsons and P.J. Veitch. 1997. Regional review of thye status of Northern Shrimp (Pandalus borealis) Resources Off Eastern Newfoundland and Labrador (Divisions 0B to 3K). DFO Res. Doc. 97/05",NA,"CPUE","kg/hr",NA,"Tonnes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52 30","-53 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0
"PANDALHC",NA,"Northern shrimp","Pandalus borealis","Pandalus borealis","Decapoda","Pandalidae","Pandalid shrimps","marine","shellfish","Canada","Canada East Coast","Hopedale and Cartwright Channels (SFA 5)","D. G. Parsons and P.J. Veitch. 1997. Regional review of thye status of Northern Shrimp (Pandalus borealis) Resources Off Eastern Newfoundland and Labrador (Divisions 0B to 3K). DFO Res. Doc. 97/05",NA,"CPUE","kg/hr",NA,"Tonnes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55 30","-58 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0
"PANDALICE",NA,"Northern shrimp","Pandalus borealis","Pandalus borealis","Decapoda","Pandalidae","Pandalid shrimps","marine","shellfish","Europe","Iceland","Iceland","State of Marine Stocks in Icelandic Waters 1996/97. Prospects for the Quota Year 1997/98. Reykjavik, May 26, 1997.167 pp.",NA,"CPUE","Kg/hr",NA,"Tonnes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66 30","-23 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0,0
"PANDALNGSTL",NA,"Northern shrimp","Pandalus borealis","Pandalus borealis","Decapoda","Pandalidae","Pandalid shrimps","marine","shellfish","Canada","Canada East Coast","Northern Gulf of St. Lawrence","Louise Savard. 1997. Shrimp of the Estuary and the Gulf of St. Lawrence. DFO, Atlantic Fisheries, Stock Status Report c4-06, May 1997.","Data were taken from the DFO website and were averaged for the Sept-Iles, Anticosti, Esquiman and Estuary regions.","CPUE","Kg/hr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49 00","-61 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0
